"idx","Lat","Long"
1,"38.110100000000003","12.78651"
2,"38.110100000000003","12.78651"
3,"38.110100000000003","12.78651"
4,"38.110100000000003","12.78651"
5,"38.110100000000003","12.78651"
6,"37.927970000000002","12.29486"
7,"38.110100000000003","12.78651"
8,"44.172829999999998","8.35365"
9,"38.110100000000003","12.78651"
10,"38.110100000000003","12.78651"
11,"38.110100000000003","12.78651"
12,"38.110100000000003","12.78651"
13,"38.110100000000003","12.78651"
14,"38.110100000000003","12.78651"
15,"38.110100000000003","12.78651"
16,"38.110100000000003","12.78651"
17,"38.110100000000003","12.78651"
18,"38.110100000000003","12.78651"
19,"38.110100000000003","12.78651"
20,"38.002271999999998","12.32245"
21,"40.628259999999997","14.492"
22,"38.146639999999998","12.73545"
23,"38.146639999999998","12.73545"
24,"38.146639999999998","12.73545"
25,"42.492600000000003","8.707231"
26,"42.492600000000003","8.707231"
27,"42.492600000000003","8.707231"
28,"42.492600000000003","8.707231"
29,"42.492600000000003","8.707231"
30,"42.492600000000003","8.707231"
31,"42.492600000000003","8.707231"
32,"41.86","8.8"
33,"42.58","8.72"
34,"38.9","16.5833"
35,"37.56026","15.15768"
36,"37.56026","15.15768"
37,"45.762563999999998","11.005173"
38,"44.7","8.0333"
39,"41.383333329999999","9.166666667"
40,"41.383333329999999","9.166666667"
41,"41.383333329999999","9.166666667"
42,"44.316792","8.396494"
43,"44.316792","8.396494"
44,"44.316792","8.396494"
45,"44.316792","8.396494"
46,"44.316792","8.396494"
47,"44.316792","8.396494"
48,"44.316792","8.396494"
49,"44.316792","8.396494"
50,"44.316792","8.396494"
51,"44.316792","8.396494"
52,"44.316792","8.396494"
53,"44.316792","8.396494"
54,"44.316792","8.396494"
55,"44.316792","8.396494"
56,"44.316792","8.396494"
57,"44.316792","8.396494"
58,"44.316792","8.396494"
59,"44.162292999999998","8.328223"
60,"44.162292999999998","8.328223"
61,"44.162292999999998","8.328223"
62,"44.162292999999998","8.328223"
63,"44.162292999999998","8.328223"
64,"44.162292999999998","8.328223"
65,"44.162292999999998","8.328223"
66,"44.162292999999998","8.328223"
67,"44.162292999999998","8.328223"
68,"44.162292999999998","8.328223"
69,"44.162292999999998","8.328223"
70,"44.162292999999998","8.328223"
71,"44.162292999999998","8.328223"
72,"44.162292999999998","8.328223"
73,"44.162292999999998","8.328223"
74,"44.162292999999998","8.328223"
75,"44.162292999999998","8.328223"
76,"44.162292999999998","8.328223"
77,"44.162292999999998","8.328223"
78,"44.162292999999998","8.328223"
79,"44.162292999999998","8.328223"
80,"44.162292999999998","8.328223"
81,"44.162292999999998","8.328223"
82,"44.162292999999998","8.328223"
83,"44.162292999999998","8.328223"
84,"44.162292999999998","8.328223"
85,"44.162292999999998","8.328223"
86,"44.162292999999998","8.328223"
87,"44.162292999999998","8.328223"
88,"44.162292999999998","8.328223"
89,"44.162292999999998","8.328223"
90,"44.162292999999998","8.328223"
91,"44.162292999999998","8.328223"
92,"44.162292999999998","8.328223"
93,"44.162292999999998","8.328223"
94,"44.162292999999998","8.328223"
95,"44.162292999999998","8.328223"
96,"44.162292999999998","8.328223"
97,"44.288800000000002","8.265058"
98,"44.288800000000002","8.265058"
99,"44.288800000000002","8.265058"
100,"44.288800000000002","8.265058"
101,"44.13203","8.019247"
102,"44.13203","8.019247"
103,"44.13203","8.019247"
104,"44.13203","8.019247"
105,"44.13203","8.019247"
106,"44.116700000000002","8.0333"
107,"44.116700000000002","8.0333"
108,"44.116700000000002","8.0333"
109,"44.116700000000002","8.0333"
110,"44.116700000000002","8.0333"
111,"41.064306999999999","16.797277"
112,"41.064306999999999","16.797277"
113,"41.064306999999999","16.797277"
114,"41.064306999999999","16.797277"
115,"41.74","8.85"
116,"45.837322999999998","10.238324"
117,"44.678798810000004","10.65479417"
118,"44.678798810000004","10.65479417"
119,"44.678798810000004","10.65479417"
120,"44.247910849999997","8.439456365"
121,"38.82","16.61"
122,"44.494823770000004","11.31475521"
123,"44.098087219999996","8.062356374"
124,"44.64255","10.6204"
125,"45.129258","10.385035"
126,"45.129258","10.385035"
127,"44.851669999999999","9.082222"
128,"44.851669999999999","9.082222"
129,"44.851669999999999","9.082222"
130,"44.851669999999999","9.082222"
131,"44.851669999999999","9.082222"
132,"41.75","8.86"
133,"41.75","8.86"
134,"41.75","8.86"
135,"41.75","8.86"
136,"41.233161000000003","16.516606"
137,"43.555900000000001","10.357"
138,"41.74463222","13.15189086"
139,"41.74463222","13.15189086"
140,"44.595498980000002","11.05278568"
141,"44.482006820000002","11.2768483"
142,"44.959085999999999","8.95774"
143,"44.861443000000001","9.54384"
144,"44.861443000000001","9.54384"
145,"37.507877000000001","15.08303"
146,"42.212699999999998","13.4408"
147,"42.212699999999998","13.4408"
148,"42.212699999999998","13.4408"
149,"42.212699999999998","13.4408"
150,"42.212699999999998","13.4408"
151,"42.212699999999998","13.4408"
152,"42.212699999999998","13.4408"
153,"42.212699999999998","13.4408"
154,"42.212699999999998","13.4408"
155,"42.212699999999998","13.4408"
156,"42.212699999999998","13.4408"
157,"42.212699999999998","13.4408"
158,"42.212699999999998","13.4408"
159,"42.212699999999998","13.4408"
160,"41.529870000000003","15.18716"
161,"41.529870000000003","15.18716"
162,"44.174304999999997","8.329496"
163,"41.630839999999999","14.49375"
164,"44.596299999999999","10.7055"
165,"44.007302080000002","10.92616042"
166,"44.007302080000002","10.92616042"
167,"44.007302080000002","10.92616042"
168,"45.944459000000002","10.26"
169,"46.262864","11.801867"
170,"42.441780000000001","13.999607"
171,"42.439799999999998","14.004099999999999"
