depth	min	max	median	mean
1140	6498	7025	6892	6856
1190	6658	7074	6986	6944
1240	6700	7107	7017	6979
1290	6746	7138	7040	7009
1340	6795	7169	7064	7039
1390	6837	7194	7090	7067
1440	6880	7219	7115	7096
1490	6930	7245	7142	7126
1540	6987	7272	7167	7158
1590	7048	7302	7195	7190
1640	7117	7333	7222	7223
1690	7183	7372	7255	7260
1740	7234	7424	7307	7309
1790	7286	7458	7346	7354
1840	7322	7485	7371	7379
1890	7340	7523	7393	7402
1940	7358	7554	7416	7426
1990	7376	7614	7459	7469
2040	7395	7677	7507	7512
2090	7418	7758	7569	7570
2140	7490	7884	7672	7677
2190	7585	7987	7784	7784
2240	7702	8096	7895	7892
2290	7886	8179	7996	8007
2340	7999	8568	8240	8252
2390	8190	8734	8513	8495
2440	8610	8841	8690	8703
2490	8654	8925	8746	8760
2540	8689	8993	8806	8817
2590	8736	9134	8869	8881
2640	8792	9242	8925	8945
2690	8870	9387	8999	9038
2740	8976	9634	9215	9242
2790	9096	9828	9439	9445
2840	9273	9995	9655	9648
2890	9529	10142	9881	9855
